item_code,item,unit,item_group,item_category,2022-05-09,2022-05-11,2022-05-13,2022-05-16,2022-05-20,2022-05-23,2022-05-25,2022-05-27,2022-05-30
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,21.134701492537314,,21.22605633802817,21.01607142857143,21.23333333333333,21.144999999999996,,21.38095238095238,21.101470588235294
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,23.837857142857143,,23.870588235294118,23.88939393939394,24.05,23.99922480620155,,24.264705882352942,24.030172413793103
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,38.182432432432435,,38.199999999999996,38.37083333333333,36.5,38.286764705882355,,39.0,38.2484375
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.372222222222222,,4.469230769230769,4.375,4.033333333333333,4.406521739130435,,4.0,4.458928571428571
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,19.88104895104895,,19.941234567901233,19.949137931034482,19.966666666666665,20.018905109489047,,20.339999999999996,20.01758064516129
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,32.04358620689655,,32.13013888888889,31.96904761904762,29.9,32.12530612244898,,32.74444444444444,32.07274074074074
346,REMPAH KURMA (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),2.6,,2.5,3.5,,2.5,,3.5,
347,REMPAH SUP (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.0,,,,,,,,
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.792424242424242,,4.814851485148515,4.784848484848485,4.733333333333333,4.872814070351759,,5.0807692307692305,4.890523560209425
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.402,,1.4201923076923078,1.3840425531914895,1.3166666666666667,1.4071428571428568,,1.6,1.4015706806282722
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4142857142857144,,1.3199999999999998,1.4416666666666667,,1.43,,,1.4333333333333331
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.632142857142857,,5.703125,5.58051948051948,5.7,5.746232876712329,,5.861538461538462,5.791472868217054
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.957272727272728,,6.0079032258064515,5.908,6.0,5.9680508474576275,,6.252941176470588,5.917596153846154
367,SERBUK KUNYIT BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.839312977099237,,4.897916666666666,4.742105263157895,4.75,4.8620300751879695,,5.0636363636363635,4.8694444444444445
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,8.849645390070922,,8.936,9.046875,8.459999999999999,9.01484375,,9.185714285714285,8.971666666666666
388,KRIMER MANIS CAP JUNJUNG,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.862096774193548,,3.8688679245283017,3.8000000000000003,3.6,3.9,,3.9078947368421053,3.9105263157894736
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,26.166666666666668,,27.555555555555557,25.0,25.0,28.09090909090909,,,28.076923076923077
843,ANMUM LACTA (BIASA),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.74047619047619,,37.58,38.02916666666667,36.5,38.02368421052632,,,37.720588235294116
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.30625,,35.27142857142857,34.684615384615384,,34.43333333333333,,,33.195
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,41.0,,,,,30.0,,,30.45
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,23.150000000000002,,24.4,20.9,,22.225,,,23.150000000000002
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.0,,,38.0,,38.0,,,40.0
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,3.691304347826087,,3.8066666666666666,3.95,,3.8523809523809525,,3.925,3.835294117647059
863,JINTAN MANIS (KASAR),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.7854545454545454,,1.8555555555555554,1.7163636363636363,2.5,1.7671999999999999,,2.0,1.8029629629629629
864,BUNGA CENGKIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.880769230769231,,6.706666666666666,7.118181818181818,6.666666666666667,6.9739130434782615,,7.9,6.9653846153846155
865,BUNGA LAWANG,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.717241379310345,,6.366666666666666,7.115384615384615,5.75,6.931818181818182,,,6.846428571428571
866,BUAH PELAGA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),19.22941176470588,,20.357142857142858,18.766666666666666,18.0,18.99411764705882,,,19.15294117647059
867,BUAH KERAS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),2.3063636363636366,,2.327142857142857,2.136,2.05,2.207777777777778,,3.5,1.9866666666666666
868,BUAH PALA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),5.09,,5.383333333333333,4.65,6.8,4.6625,,6.5,4.483333333333333
869,BIJI SAWI,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.6058823529411765,,1.6090909090909091,1.3285714285714287,1.5,1.5,,2.0,1.4736842105263157
870,BIJI KETUMBAR,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.5684615384615386,,1.4983333333333333,1.5,1.75,1.5192,,,1.5251851851851852
