item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-05,2022-04-11,2022-04-18,2022-04-25,2022-04-29,2022-04-30
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,18.900000000000002,19.475637583892617,19.5,19.52751592356688,19.59174193548387,19.645345911949686,19.648451612903223,
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,30.933333333333334,31.151842105263157,31.5,31.216305732484077,31.19678787878788,31.217964071856287,31.233132530120482,
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.64375,4.7392822966507175,,4.74875,4.75036036036036,4.744533333333333,4.742739726027398,
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3142857142857145,1.3627127659574467,1.3,1.3690452261306532,1.3693193717277485,1.3716326530612244,1.3785185185185183,
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4,1.4277777777777778,,1.435,1.4277777777777778,1.4055555555555557,1.4157894736842105,
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.3500000000000005,5.5488333333333335,,5.549740932642488,5.563684210526315,5.5664766839378235,5.569615384615385,
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.8999999999999995,5.9068,6.0,5.9136875,5.926778523489933,5.929612903225806,5.919597315436241,
367,SERBUK KUNYIT BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.6000000000000005,4.833684210526316,,4.819693251533742,4.823081761006289,4.828545454545455,4.829551282051282,
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,8.475000000000001,9.4374,,9.344999999999999,9.387697368421053,9.389602649006623,8.742826086956521,7.99
388,KRIMER MANIS CAP JUNJUNG,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.45,3.6939215686274514,,3.6818181818181817,3.6895918367346936,3.6898,3.6822916666666665,
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,28.666666666666668,24.391333333333332,,26.088,26.038,24.974800000000002,25.19869565217391,
843,ANMUM LACTA (BIASA),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.800000000000004,37.92475409836065,,37.89784615384615,37.9009375,37.9184126984127,37.8783870967742,
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,31.4,37.23074074074074,,36.00809523809524,35.706296296296294,36.21709677419355,35.81135135135135,
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,28.9,34.157,,36.958999999999996,37.742222222222225,37.37555555555556,39.255714285714284,
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,22.254285714285714,,22.754444444444445,23.780909090909088,22.506923076923076,22.72923076923077,
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,43.9,35.99,,41.29333333333333,41.95,41.6,40.266666666666666,
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,3.883333333333333,3.936875,,3.9469565217391307,3.944545454545455,3.9450000000000003,3.5405882352941176,
863,JINTAN MANIS (KASAR),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.6600000000000001,1.5794594594594593,,1.5890476190476188,1.6080487804878048,1.634878048780488,1.666857142857143,
864,BUNGA CENGKIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),7.8,7.397777777777778,,7.650277777777778,7.697500000000001,7.433589743589744,7.51138888888889,
865,BUNGA LAWANG,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.76,7.176111111111112,,7.203095238095239,7.137317073170731,7.062045454545455,7.148333333333333,
866,BUAH PELAGA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),18.18,18.949375,,18.617368421052632,19.081714285714288,18.807297297297296,19.028823529411767,
