item_code,item,unit,item_group,item_category,2022-07-04,2022-07-05,2022-07-07,2022-07-08,2022-07-11,2022-07-18,2022-07-25,2022-07-26,2022-07-27,2022-07-29
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,124.0,0.0,41.0,70.0,9.0,121.0,125.0,1.0,0.0,2.0
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,118.0,0.0,40.0,70.0,9.0,117.0,120.0,1.0,1.0,3.0
303,ENFAGROW A+ MIND PRO LANGKAH 3 VANILLA (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,4.0,0.0,2.0,4.0,0.0,7.0,6.0,0.0,0.0,0.0
320,SUSU SEJAT PENUH KRIM CAP IDEAL,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,30.0,0.0,9.0,21.0,0.0,31.0,30.0,0.0,0.0,0.0
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,55.0,0.0,17.0,36.0,3.0,59.0,57.0,0.0,0.0,2.0
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,15.0,0.0,5.0,8.0,1.0,14.0,15.0,0.0,0.0,1.0
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,129.0,0.0,45.0,68.0,12.0,127.0,129.0,0.0,0.0,3.0
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,131.0,0.0,56.0,63.0,10.0,130.0,128.0,0.0,0.0,3.0
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,36.0,0.0,11.0,21.0,1.0,33.0,32.0,0.0,0.0,1.0
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),26.0,0.0,9.0,11.0,5.0,24.0,25.0,0.0,0.0,1.0
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,136.0,0.0,42.0,78.0,13.0,130.0,132.0,1.0,0.0,1.0
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,134.0,0.0,46.0,64.0,15.0,126.0,137.0,1.0,0.0,2.0
346,REMPAH KURMA (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),190.0,0.0,80.0,85.0,20.0,188.0,187.0,1.0,1.0,4.0
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),193.0,0.0,80.0,99.0,14.0,196.0,197.0,1.0,1.0,5.0
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),25.0,0.0,17.0,5.0,2.0,24.0,25.0,0.0,1.0,1.0
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),158.0,0.0,62.0,78.0,13.0,157.0,155.0,0.0,1.0,1.0
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),123.0,0.0,49.0,61.0,13.0,122.0,118.0,0.0,1.0,5.0
